time,watt_hi.common@irr_1:MAX_VALUE,watt_hi.common@irr_2:MAX_VALUE,watt_hi.common@irr_3:MAX_VALUE,watt.common@irr_dav_1:MAX_VALUE
1755458442,0.0,0.0,0.0,0.1088793103448276
1755458502,0.0,0.0,0.0,0.09336206896551724
1755458562,0.0,0.0,0.0,0.0778448275862069
1755458622,0.0,0.0,0.0,0.06232758620689655
1755458682,0.0,0.0,0.0,0.0468103448275862
1755458742,0.0,0.0,0.0,0.03129310344827586
1755458802,0.0,0.0,0.0,0.01577586206896552
1755458862,0.0,0.0,0.0,0.0002586206896551726
1755458922,0.0,0.0,0.0,0.0
1755458982,0.0,0.0,0.0,0.0
1755459042,0.0,0.0,0.0,0.0
1755459102,0.0,0.0,0.0,0.0
1755459162,0.0,0.0,0.0,0.0
1755459222,0.0,0.0,0.0,0.0
1755459282,0.0,0.0,0.0,0.0
1755459342,0.0,0.0,0.0,0.0
1755459402,0.0,0.0,0.0,0.004647160068846815
1755459462,0.0,0.0,0.0,0.02013769363166953
1755459522,0.0,0.0,0.0,0.03562822719449225
1755459582,0.0,0.0,0.0,0.05111876075731497
1755459642,0.0,0.0,0.0,0.0666092943201377
1755459702,0.0,0.0,0.0,0.08209982788296041
1755459762,0.0,0.0,0.0,0.09759036144578313
1755459822,0.0,0.0,0.0,0.1130808950086059
1755459882,0.0,0.0,0.0,0.1285714285714286
1755459942,0.0,0.0,0.0,0.1440619621342513
1755460002,0.0,0.0,0.0,0.1544655172413793
1755460062,0.0,0.0,0.0,0.1617068965517241
1755460122,0.0,0.0,0.0,0.168948275862069
1755460182,0.0,0.0,0.0,0.1761896551724138
1755460242,0.0,0.0,0.0,0.1834310344827586
1755460302,0.0,0.0,0.0,0.1906724137931034
1755460362,0.0,0.0,0.0,0.1979137931034483
1755460422,0.0,0.0,0.0,0.2051551724137931
1755460482,0.0,0.0,0.0,0.2123965517241379
1755460542,0.0,0.0,0.0,0.2196379310344828
1755460602,0.0,0.0,0.0,0.22
