time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1755752400,8.122203098106713,7.969072164948454,9.0,105.1534146341463
1755752405,8.13080895008606,7.97766323024055,9.0,106.0960975609756
1755752410,8.139414802065406,7.986254295532646,9.0,107.0387804878049
1755752415,8.148020654044753,7.994845360824742,9.0,107.9814634146341
1755752420,8.156626506024098,8.0,9.0,108.9241463414634
1755752425,8.165232358003443,8.0,9.0,109.8668292682927
1755752430,8.17383820998279,8.0,9.0,110.8095121951219
1755752435,8.182444061962137,8.0,9.0,111.7521951219512
1755752440,8.191049913941482,8.0,9.0,112.6948780487805
1755752445,8.199655765920827,8.0,9.0,113.6375609756098
1755752450,8.208261617900174,8.0,9.0,114.580243902439
1755752455,8.21686746987952,8.0,9.0,115.5229268292683
1755752460,8.225473321858866,8.0,9.0,115.9
1755752465,8.23407917383821,8.0,9.0,104.305
1755752470,8.242685025817558,8.0,9.0,101.41
1755752475,8.251290877796905,8.0,9.0,101.9488888888889
1755752480,8.25989672977625,8.0,9.0,103.345
1755752485,8.268502581755595,8.0,9.0,104.31
1755752490,8.277108433734941,8.0,9.0,115.9
1755752495,8.285714285714288,8.0,9.0,110.105
1755752500,8.294320137693633,8.0,9.0,101.895
1755752505,8.302925989672978,8.0,9.0,101.9488888888889
1755752510,8.311531841652325,8.0,9.0,115.9
1755752515,8.320137693631672,8.0,9.0,115.9
1755752520,8.328743545611017,8.0,9.0,106.624
1755752525,8.337349397590362,8.0,9.0,114.354
1755752530,8.345955249569709,8.0,9.008605851979347,115.9
1755752535,8.354561101549056,8.0,9.017211703958694,112.0371428571429
1755752540,8.3631669535284,8.0,9.02581755593804,107.2085714285714
1755752545,8.371772805507746,8.0,9.034423407917386,102.38
1755752550,8.380378657487093,8.0,9.043029259896732,101.41
1755752555,8.38898450946644,8.0,9.051635111876077,102.38
1755752560,8.397590361445785,8.0,9.060240963855424,102.38
1755752565,8.40619621342513,8.0,9.06884681583477,102.2506666666667
1755752570,8.414802065404476,8.0,9.077452667814116,101.604
1755752575,8.423407917383823,8.0,9.086058519793461,104.305
1755752580,8.432013769363168,8.0,9.094664371772808,115.9
1755752585,8.440619621342513,8.0,9.103270223752153,110.492
1755752590,8.44922547332186,8.0,9.1118760757315,103.224375
1755752595,8.457831325301207,8.0,9.120481927710845,103.8275
1755752600,8.466437177280552,8.0,9.129087779690192,106.5633333333333
1755752605,8.475043029259897,8.0,9.137693631669537,117.83
1755752610,8.483648881239244,8.0,9.146299483648884,117.83
1755752615,8.49225473321859,8.0,9.154905335628229,117.83
1755752620,8.500860585197936,8.0,9.163511187607575,112.422
1755752625,8.50946643717728,8.0,9.17211703958692,105.4358333333333
1755752630,8.518072289156628,8.0,9.180722891566267,106.24
1755752635,8.526678141135974,8.0,9.189328743545612,106.24
1755752640,8.53528399311532,8.0,9.19793459552496,105.275
